id,en,fr
intro.made-with,"Made with Godot","Fait avec Godot"
cancel,"cancel","annuler"
pause.resume,"resume","reprendre"
pause.restart,"restart...","recommencer..."
pause.confirmation.title,"restart from beginning?","recommencer au début ?"
pause.confirmation.subtitle,"all progression will be erased, would you still like to restart from first level?","toute la progression sera perdue, voulez-vous recommencer depuis le premier niveau ?"
pause.confirmation.restart,"restart","recommencer"
end.failed1,"Nobody say that life is easy.","Personne n'a jamais que la vie serait facile."
end.failed2,"May I deserve better?","Je ne méritais pas mieux ?"
end.failed3,"Is that fair?","Et ça, c'est juste ?"
end.failed4,"Let's begin from start again.","Recommençons dès le début, encore une fois."
end.failed5,"It was not what I was hoping for.","Ce n'est pas ce que j'espérais."
end.continued,"to be continued...","à suivre..."
end.thank-you,"thank you for playing!","merci d'avoir joué !"
end.restart,"restart","recommencer"