id;en;fr
B-Failed;He turned the lights on, I was hitting myself in every corner of the room.;Il a allumé la lumière, avant ça je me cognais partout dans la chambre.
B-Failed-2;He was watching television pretty loud, I went back to bed.;Il regardait la télé, le son était fort, je suis allé me recoucher.
B-Failed-3;He has broken something, it wakes me up every time.;Il a cassé quelque chose. Ce n'est pas la première fois, ça me réveille à chaque fois.
B-Failed-4;He has left the car engine turned on for a while before he left for work.;Il a laissé le moteur de la voiture tourner pendant un moment avant de partir au travail.
B-Failed-5;He has set his alarm sooner than before, he must appreciate silent mornings.;Il mets son réveil plus tôt que d'habitude, il doit apprécier les matins calmes.
G-Failed;She wanted to reassure me, like every time I had done this dream.;Elle a voulu me rassurer, comme quand je fais à chaque fois ce même rêve.
G-Failed-2;I haven't called her loud but she came right away, and she asked why I was crying.;Je ne l'ai pas appelé fort mais elle m'a aussitôt entendu, et elle m'a demandé pourquoi je pleurais.
G-Failed-3;She has opened the door, to see if we're sleeping well.;Elle a ouvert la porte de la chambre, sans doute pour vérifier que l'on dormait bien.
G-Failed-4;She was talking on phone, not even loud but I could sightly understand what she was saying.;Elle parlait au téléphone, pas très fort mais je comprenais presque ce qu'elle disait.
G-Failed-5;She didn't heard me when I woke up, she used to ask me why I was awoken.;Elle ne m'a pas entendu me lever, d'habitude elle m'aurait demandé pourquoi j’étais déjà debout.
P-Failed;He certainly didn't heard when I knocked at his door even if his room light were on.;Il n'a pas dû m'entendre quand j'ai frappé à sa porte, même si je voyais que la lumière était allumée.
P-Failed-2;He probably slams the door, I've heard him moving some fournitures.;Il avait dû claquer la porte de sa chambre, et je l'entendais qui bougeait des meubles.
R-Failed;She has been listening music loud in her headphone, this woke me up.;Elle écoutait fort sa musique avec son casque, c'est ce qui m'a réveillé.
B-1-2;He goes back from work later and later.;Il rentre de plus en plus tard de son travail.
G-1-2;She asks me if I want to eat sooner to have more time to play after.;Elle me demande toujours si je veux manger plus tôt pour continuer de jouer après le repas.
B-2-3;He would refuse to talk about it, but he surely knows.;Il ne voudra pas m'en parler, mais il doit savoir.
G-2-3;I know she's preparing it for a long time, I hope this will be a nice surprise.;Je sais qu'elle la prépare depuis longtemps, j'espère que ça sera une bonne surprise.
B-3-4;He goes for a walk after dinner, sometimes with the dog, in the dark.;Il va se promener après manger, parfois avec le chien, dans la nuit.
G-3-4;She was in the kitchen, I haven't seen what she was watching through the window.;Elle était dans la cuisine, je n'ai pas vu ce qu'elle regardait par la fenêtre.
B-4-10;I still don't know why he doesn't come to pick me up at school.;Je ne sais pas pourquoi il ne vient plus me chercher à la sortie de l'école.
G-4-10;She hadn't asked me how it was today.;Elle ne m'a pas demandé comment ça s'était passé aujourd'hui.
B-10-11;I took a piece of braid in the kitchen but he didn't saw me, I don't know what he would say about it.;J'ai pris un morceau de pain dans la cuisine mais il ne m'a pas vu, je ne sais pas se qu'il aurait dit sinon.
B-11-12;He used to tell me good night.;Il ne vient plus me souhaiter une bonne nuit.
G-11-12;She doesn't want me to spend to much time in the living room after the dinner.;Elle ne veut pas que je passe trop de temps dans le salon après le repas.
B-12-13;He doesn't want the clear the table no more, so I do it alone, it doesn’t bothers me.;Il ne débarrasse plus la table, je dois le seul faire, mais ça ne me dérange pas.
G-12-13;She stays silent in the kitchen but she probably appreciates my help.;Elle reste silencieuse dans la cuisine, mais elle doit apprécier mes efforts.
B-13-20;He was still in the living room, the light was on, I went back to bed, but I was still thirsty.;Il était encore dans le salon, la lumière était allumée. Je me suis recouché mais j'avais encore soif.
G-13-20;I was too afraid to wake her up, I tried to not do any noise.;Je n'ai pas voulu faire de bruit pour pas qu’elle se réveille.
B-20-21;She wanted to see a friend of her after school, during so I was playing with the dog, I haven't heard what she was saying.;Elle voulait passer chez son amie après l'école, moi je jouais avec le chien et je n'ai pas pu entendre ce qu'elle racontait.
B-21-22;He just had came back from work, he took the dog with him and went in his car.;Il venait juste de revenir du travail, il a pris le chien pour repartir en voiture.
G-21-22;I really wanted to run away from the house but she catch me, and now she's going to scold me.;Je voulais partir de la maison mais elle m'a rattrapé, et maintenant elle va sûrement me gronder.
B-22-23;I wasn't scared when he went mad during the dinner.;Je n'ai pas eu peur quand il s’est énervé à table.
G-22-23;She refused to show me that she was crying.;Elle n'a pas voulu me montrer qu'elle avait pleuré.
B-23-30;I spend some time petting the dog after he kicked it.;J'ai passé un moment à caresser le chien, après qu'il lui a donné un coup de pied.
G-23-30;She asked herself who would take it, I don't want to give it to anybody.;Elle se demandait qui le prendrait, mais je ne veux pas qu'on le donne.
B-30-31;He chided me, I know what I've done.;Il m'a gronder, je ne sais pas ce que j'ai encore fait.
G-30-31;I've ride at the carousel after school, she wanted to please me.;Je suis allé faire du manège aujourd'hui après l'école, elle voulait me faire plaisir.
B-31-32;He was sitting in his armchair, in the dark, watching television.;Il était assis dans son fauteuil, dans le noir, devant la télé.
P-31-32;He pulled his posters from the wall of his bedroom, I'll ask him if I can reclaim them.;Il a retiré les posters de sa chambre, je lui demanderai si je pourrai les récupérer.
P-32-33;He had locked its door, I can't even peek by the keyhole no more.;Il ferme la porte de sa chambre à clé, je ne peux même plus regarder par le trou de la serrure
G-33-34;I hadn't found all my toys, she told me she began to tidy them up.;Je n'ai pas retrouvé tous mes jouets, elle m'a dit qu'elle avait commencé à les ranger.
P-33-34;He helped me to look for them, and he has found more than me.;Il m'a aidé à chercher, il en a retrouvé un peu plus que moi.
G-30-40;She didn't wanted to tell me what is in preparation.;Elle ne voulait pas me dire ce qui se préparait.
R-30-40;She looked happy, it was certainly for a good reason, I'm hoping to known why soon.;Elle avait l'air heureuse, ça devait être pour une bonne raison, j'espère que je le saurai bientôt.
B-40-41;He leaves every morning without saying anything, as he's always late, but sooner each day.;Il part le matin sans dire un mot, comme s'il était en retard, et il part de plus en plus tôt.
R-40-41;She goes out of the bedroom just after, she doesn't speak neither.;Elle sort de la chambre juste après, elle ne dit rien non plus.
G-41-42;She lefts me in the car when she picked up the keys, she didn't tell me what they are for.;Elle m'a laissé dans la voiture pendant qu'elle récupérait des clés, sans me dire à quoi elles servaient.
R-41-42;She was happy to know she’ll soon have her very own room. It would be great if I could get our bedroom for only me.;Elle était contente de savoir qu'elle aurait bientôt sa chambre. Ça serait super si j'avais notre chambre pour moi tout seul.
R-42-43;She's still talking with her friend, why is she always wait before coming back home?;Elle discute encore avec sa copine, pourquoi elle prend toujours son temps avant de rentrer ?
P-43-44;He went outdoor in the cold, without its coat.;Il est sorti dans le froid, sans prendre son manteau.
R-43-44;She plays more often with me after the dinner.;Elle joue de plus en plus souvent avec moi après le repas du soir.
B-44-45;He was certainly right, I must deserved it. I rub my cheek but if it still hurts me.;Il devait avoir raison, je l'ai sans doute mérité. Je me frotte la joue mais j'ai encore mal.
G-44-45;She promised me that it wasn't my fault, and that it will not be done again.;Elle m'a promis que ce n'était pas de ma faute, et que ça ne recommencera plus.
P-44-45;I think he's sick since he came back, I would prefer to see him eating with us.;Je crois qu'il est malade depuis qu'il est revenu, j'aurais aimé qu’il vienne à table.
G-45-60;When I entered the kitchen, she was picking broken glass up.;Quand je suis entré dans la cuisine, elle ramassait des morceaux de verres.
P-45-60;He pushed me when I came out of his room, I know he didn't do it on purpose.;Il m'a poussé en sortant de sa chambre, je sais qu'il n'a pas fait exprès.
R-45-60;She promises me to play after dinner, but now, I prefer to let her alone.;Elle m'avait promis de jouer avec moi après le repas, mais j'ai préféré la laisser seule dans la chambre.
R-60-61;She started to tidy the room up, the pictures were no more on walls.;Elle commençait à faire du rangement dans la chambre, ses photos n'étaient plus accrochées au mur.
P-61-62;He doesn't want me to go in his room, he said he packing his things to the attic.;Il ne veut plus que je rentre dans sa chambre, il dit qu'il doit faire ses cartons pour le grenier.
G-62-63;I'll spend the week end with a buddy, I guess she needs to do some house cleaning.;Je vais passer le week-end chez un copain, je pense qu'elle a besoin de faire du rangement dans la maison.
B-63-Outro;He doesn't want to clean up his stuff, but he won’t get any more cardboards soon.;Il ne doit pas vouloir ranger ses affaires, mais il ne va bientôt plus rester des cartons du tout.
R-Outro;She's got lot of projects, she wouldn’t stop smiling in the car.;Elle a plein de projets, elle n'arrêtait pas de sourire dans la voiture.
P-Outro;He's leaving for a while but he said that I'll come back soon.;Il part pour quelques temps, mais m'a dit qu'il reviendra rapidement.
G-Outro;She hasn't shown me the new house yet.;Elle ne m'a pas encore montré cette nouvelle maison.
B-Outro;He will still see me once every two weeks.;Il continuera à me voir une fois toutes les deux semaines.
Y-Outro;I would like to tell them that I prefer how it used to be… but I know I can’t change anything.;Je voudrais leurs dire que je préférais comment c'était avant... mais je ne peux rien faire pour changer tout ça.
N-1;It wakes me up again, it will never stop.;Il m'a encore réveillé, il n'arrêtera jamais.
N-2;It guess it can scare me, but it will never do.;Il pense me faire peur, mais il n'y arrivera pas.
N-3;It is still here, I can feel it, but it’s always too dark to see well.;Il est encore là, je le sens, mais il fera toujours trop sombre pour le voir.
N-4;It not seems wild, but it will always run away when I come closer.;Il n'a pourtant pas l'air méchant, mais c'est comme s’il voulait fuir quand je m'approche.
N-5;It won't leave me alone, it thinks it can protect me.;Il refuse de me laisser tranquille, il pense qu'il pourra me protéger.